,Material type,Elements,Ionic radius,Core size (nm),Hydro size (nm),Surface charge (mV),Surface area (m2/g),Cell type,Exposure dose (ug/mL),Topological polar surface area (Å²),a (Å),b (Å),c (Å),α (°),β (°),γ (°),Density (g/cm3),Viability (%),cell_line,cell_species,cell_origin,time,toxicity,average electronegativity,Molecular weight (g/mol),Number of atoms
1634,Fe3O4,,,46.8,1025.0,1.7,147.4,Normal,0.01,60.4,8.244,8.244,8.244,90,90,90,4.95,96.2771,HCMEC,Human,Blood,12.0,nonToxic,2.75,231.5326,7.0
1635,Fe3O4,,,46.8,1025.0,1.7,147.4,Normal,0.1,60.4,8.244,8.244,8.244,90,90,90,4.95,99.2208,HCMEC,Human,Blood,12.0,nonToxic,2.75,231.5326,7.0
1636,Fe3O4,,,46.8,1025.0,1.7,147.4,Normal,1.0,60.4,8.244,8.244,8.244,90,90,90,4.95,101.2987,HCMEC,Human,Blood,12.0,nonToxic,2.75,231.5326,7.0
1637,Fe3O4,,,46.8,1025.0,1.7,147.4,Normal,5.0,60.4,8.244,8.244,8.244,90,90,90,4.95,97.8355,HCMEC,Human,Blood,12.0,nonToxic,2.75,231.5326,7.0
1638,Fe3O4,,,46.8,1025.0,1.7,147.4,Normal,10.0,60.4,8.244,8.244,8.244,90,90,90,4.95,100.7792,HCMEC,Human,Blood,12.0,nonToxic,2.75,231.5326,7.0
1639,Fe3O4,,,46.8,1025.0,1.7,147.4,Normal,20.0,60.4,8.244,8.244,8.244,90,90,90,4.95,97.4892,HCMEC,Human,Blood,12.0,nonToxic,2.75,231.5326,7.0
1640,Fe3O4,,,46.8,1025.0,1.7,147.4,Normal,50.0,60.4,8.244,8.244,8.244,90,90,90,4.95,99.5671,HCMEC,Human,Blood,12.0,nonToxic,2.75,231.5326,7.0
1641,Fe3O4,,,46.8,1025.0,1.7,147.4,Normal,100.0,60.4,8.244,8.244,8.244,90,90,90,4.95,97.8355,HCMEC,Human,Blood,12.0,nonToxic,2.75,231.5326,7.0
1642,SiO2,,,33.5,120.0,-47.6,576.23,Normal,0.01,34.1,5.028,5.028,5.519,90,90,120,2.48,91.5663,MeT_5A,Human,Mesothelium,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1643,SiO2,,,33.5,120.0,-47.6,576.23,Normal,0.1,34.1,5.028,5.028,5.519,90,90,120,2.48,115.6627,MeT_5A,Human,Mesothelium,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1644,SiO2,,,33.5,120.0,-47.6,576.23,Normal,1.0,34.1,5.028,5.028,5.519,90,90,120,2.48,101.4056,MeT_5A,Human,Mesothelium,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1645,SiO2,,,33.5,120.0,-47.6,576.23,Normal,10.0,34.1,5.028,5.028,5.519,90,90,120,2.48,85.9438,MeT_5A,Human,Mesothelium,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1646,SiO2,,,33.5,120.0,-47.6,576.23,Normal,25.0,34.1,5.028,5.028,5.519,90,90,120,2.48,94.9799,MeT_5A,Human,Mesothelium,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1647,SiO2,,,33.5,120.0,-47.6,576.23,Normal,50.0,34.1,5.028,5.028,5.519,90,90,120,2.48,61.245,MeT_5A,Human,Mesothelium,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1648,SiO2,,,33.5,120.0,-47.6,576.23,Normal,75.0,34.1,5.028,5.028,5.519,90,90,120,2.48,53.6145,MeT_5A,Human,Mesothelium,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1649,SiO2,,,33.5,120.0,-47.6,576.23,Normal,100.0,34.1,5.028,5.028,5.519,90,90,120,2.48,67.8715,MeT_5A,Human,Mesothelium,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1650,SiO2,,,33.5,120.0,-47.6,576.23,Cancer,0.01,34.1,5.028,5.028,5.519,90,90,120,2.48,107.4297,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1651,SiO2,,,33.5,120.0,-47.6,576.23,Cancer,0.1,34.1,5.028,5.028,5.519,90,90,120,2.48,107.6305,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1652,SiO2,,,33.5,120.0,-47.6,576.23,Cancer,1.0,34.1,5.028,5.028,5.519,90,90,120,2.48,113.253,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1653,SiO2,,,33.5,120.0,-47.6,576.23,Cancer,10.0,34.1,5.028,5.028,5.519,90,90,120,2.48,109.4377,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1654,SiO2,,,33.5,120.0,-47.6,576.23,Cancer,25.0,34.1,5.028,5.028,5.519,90,90,120,2.48,105.2209,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1655,SiO2,,,33.5,120.0,-47.6,576.23,Cancer,50.0,34.1,5.028,5.028,5.519,90,90,120,2.48,96.3855,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1656,SiO2,,,33.5,120.0,-47.6,576.23,Cancer,75.0,34.1,5.028,5.028,5.519,90,90,120,2.48,91.3655,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1657,SiO2,,,33.5,120.0,-47.6,576.23,Cancer,100.0,34.1,5.028,5.028,5.519,90,90,120,2.48,91.9679,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1658,SiO2,,,369.0,546.0,-38.7,9.0,Normal,0.0,34.1,5.028,5.028,5.519,90,90,120,2.48,94.2,BEAS_2B,Human,Lung,20.0,nonToxic,2.9266666666666663,60.0843,3.0
1659,SiO2,,,369.0,546.0,-38.7,9.0,Normal,1440.0,34.1,5.028,5.028,5.519,90,90,120,2.48,90.6,BEAS_2B,Human,Lung,20.0,nonToxic,2.9266666666666663,60.0843,3.0
1660,SiO2,,,369.0,546.0,-38.7,9.0,Normal,0.0,34.1,5.028,5.028,5.519,90,90,120,2.48,94.1,BEAS_2B,Human,Lung,20.0,nonToxic,2.9266666666666663,60.0843,3.0
1661,SiO2,,,369.0,546.0,-38.7,9.0,Normal,1440.0,34.1,5.028,5.028,5.519,90,90,120,2.48,85.6,BEAS_2B,Human,Lung,20.0,nonToxic,2.9266666666666663,60.0843,3.0
1662,SiO2,,,27.5,75.1,-29.5,65.0,Normal,0.0,34.1,5.028,5.028,5.519,90,90,120,2.48,94.2,BEAS_2B,Human,Lung,20.0,nonToxic,2.9266666666666663,60.0843,3.0
1663,SiO2,,,27.5,75.1,-29.5,65.0,Normal,200.0,34.1,5.028,5.028,5.519,90,90,120,2.48,91.9,BEAS_2B,Human,Lung,20.0,nonToxic,2.9266666666666663,60.0843,3.0
1664,SiO2,,,27.5,75.1,-29.5,65.0,Normal,0.0,34.1,5.028,5.028,5.519,90,90,120,2.48,94.1,BEAS_2B,Human,Lung,20.0,nonToxic,2.9266666666666663,60.0843,3.0
1665,SiO2,,,27.5,75.1,-29.5,65.0,Normal,200.0,34.1,5.028,5.028,5.519,90,90,120,2.48,91.6,BEAS_2B,Human,Lung,20.0,nonToxic,2.9266666666666663,60.0843,3.0
1666,SiO2,,,50.0,79.0,-13.2,108.3,Cancer,0.0,34.1,5.028,5.028,5.519,90,90,120,2.48,101.28,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1667,SiO2,,,50.0,79.0,-13.2,108.3,Cancer,0.001,34.1,5.028,5.028,5.519,90,90,120,2.48,102.24,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1668,SiO2,,,50.0,79.0,-13.2,108.3,Cancer,0.01,34.1,5.028,5.028,5.519,90,90,120,2.48,101.28,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1669,SiO2,,,50.0,79.0,-13.2,108.3,Cancer,0.1,34.1,5.028,5.028,5.519,90,90,120,2.48,96.48,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1670,SiO2,,,50.0,79.0,-13.2,108.3,Cancer,1.0,34.1,5.028,5.028,5.519,90,90,120,2.48,98.4,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1671,SiO2,,,50.0,79.0,-13.2,108.3,Cancer,10.0,34.1,5.028,5.028,5.519,90,90,120,2.48,97.92,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1672,SiO2,,,50.0,79.0,-13.2,108.3,Cancer,100.0,34.1,5.028,5.028,5.519,90,90,120,2.48,99.36,A549,Human,Lung,24.0,nonToxic,2.9266666666666663,60.0843,3.0
1673,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1674,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.0,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1675,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,122.2222,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1676,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,111.1111,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1677,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,127.7778,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1678,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,142.2222,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1679,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,115.5556,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1680,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,151.1111,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1681,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1682,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,116.6667,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1683,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,110.0,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1684,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,104.4444,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1685,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,111.1111,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1686,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,122.2222,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1687,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,121.1111,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1688,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,121.1111,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1689,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1690,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,110.0,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1691,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,120.0,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1692,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,115.5556,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1693,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,114.4444,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1694,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,122.2222,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1695,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,121.1111,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1696,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,116.6667,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1697,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1698,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,82.2599,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1699,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,76.7232,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1700,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,83.8418,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1701,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,85.4237,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1702,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,93.3333,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1703,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.1695,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1704,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,98.8701,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1705,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1706,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.1695,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1707,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,103.6158,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1708,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,88.5876,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1709,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,96.4972,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1710,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,115.4802,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1711,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.7062,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1712,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,118.6441,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1713,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1714,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.9605,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1715,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,94.1243,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1716,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,104.4068,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1717,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,87.0056,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1718,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,82.2599,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1719,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,106.7797,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1720,TiO2,,,25.0,504.5,-10.7,210.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,94.1243,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1721,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1722,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,87.62,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1723,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,94.16,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1724,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,84.14,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1725,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,99.83,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1726,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,101.14,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1727,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,112.47,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1728,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,108.55,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1729,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1730,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.9,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1731,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.7,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1732,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,87.19,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1733,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,112.04,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1734,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,102.01,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1735,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,102.01,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1736,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,91.11,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1737,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1738,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,122.5,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1739,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,124.6,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1740,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,125.9,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1741,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,127.3,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1742,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,118.14,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1743,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,116.4,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1744,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,116.4,SH_SY5Y,Human,Bone,3.0,nonToxic,2.8066666666666666,79.8658,3.0
1745,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1746,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,105.5,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1747,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.67,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1748,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,102.71,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1749,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,106.58,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1750,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,99.89,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1751,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,114.67,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1752,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,150.0,34.1,4.664,4.664,2.966,90,90,90,4.13,119.59,SH_SY5Y,Human,Bone,24.0,nonToxic,2.8066666666666666,79.8658,3.0
1753,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,0.0,34.1,4.664,4.664,2.966,90,90,90,4.13,100.0,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1754,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,20.0,34.1,4.664,4.664,2.966,90,90,90,4.13,93.91,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1755,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,40.0,34.1,4.664,4.664,2.966,90,90,90,4.13,92.16,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1756,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,60.0,34.1,4.664,4.664,2.966,90,90,90,4.13,95.67,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1757,TiO2,,,,228.3,-10.7,40.0,Cancer,80.0,34.1,4.664,4.664,2.966,90,90,90,4.13,90.05,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1758,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,100.0,34.1,4.664,4.664,2.966,90,90,90,4.13,88.29,,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
1759,TiO2,,,25.0,228.3,-10.7,40.0,Cancer,120.0,34.1,4.664,4.664,2.966,90,90,90,4.13,103.06,SH_SY5Y,Human,Bone,6.0,nonToxic,2.8066666666666666,79.8658,3.0
